Detection Date,Latitude,Longitude,Notes,Lab Status
174,48.93600000000001,-122.74728999999999,"I was at the Birch Bay Waterslides at the top of the tower in line to slide down when I saw a wasp larger than I've ever seen before. I remember thinking, ""Wow, was that a bee? If it was I'm sure I'll hear about that."" It was yellow and black and very la",0
175,47.221882,-119.99443000000001,"We weren’t sure what these were, but they are huge and we had never seen anything like them. We saw them in Crescent Bar by the swimming pools.",0
177,46.605947,-120.427555,Large bee was flying around river bank. Only saw one.,0
179,47.487496,-118.958142, ,0
181,48.50824,-122.23858,We saw these last year in Sedro woolley and didn’t know what they were can you help identify them,0
185,48.006763,-122.462053,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,0
185,48.664456,-122.395955,"I was walking down to my mailbox and noticed a huge wasp with a big orange head, I looked at it for a minute then picked up my mail and when I went and told my wife about it she said I should take a picture and when I went back to the big cedar tree it w",0
185,48.948233,-122.74805800000001,This was dead on my front porch last summer. Looks like it might be an elm sawfly. But thought I would send the pic anyway.,0
186,47.373461999999996,-120.141581,This hornet came flying by us and around us when we were in our back yard swimming pool. I have More pictures and a  video of it as well if needed please send an email or call.,0
188,47.541072,-120.28201499999999,We were able to kill one of them and later saw at least 2 more that same day.,0
188,47.391627,-119.485153,"At the edge of the lake at lake in Soap Lake, Washington. I am familiar with the different wasps and hornets in the area and knew this was not one I had seen before. It looked like an orange yellow jacket on steroids. I looked it up online and identified",0
189,46.612953000000005,-120.462557,Can’t send a pic from google imige,0
189,48.550189,-117.318946,"I was stung on both legs while walking on my property on the PO River, north of USK, Wa. The sting was an immediate goose egg as Coyote showed, I managed to swat the one off of my right leg and It was HUGE, the left leg got the most toxin, besides the sw",0
190,47.500026,-122.28513400000001,"I picked up a load of freshly cut wood at a friend's in Issaquah and this came in the load. I killed it- i'm allergic to bee stings. It was about 2"" long, and not aggressive, but kept flying around the wood pile.",0
190,47.315424,-119.545603,I killed this last July and took pictures because I’d never seen anything like it. I have 2 pictures,0
190,47.73284,-122.17958999999999,"The following is a copy of an email that I sent to Dr. Chris Looney (CLooney@agr.wa.gov) on December 21 at 1:45 PM    Hello Dr. Looney,  I saw the article on KOMO about the Asian giant hornet that was found in Blaine. This reminded me of a similar sighti",0
190,45.710268,-120.696372,It was a very large orange hornet about 2 inches. We were sitting down grilling under a tree near John Day dam when a large orange hornet fell onto the ground trying to fly bit it couldn't. I killed it in fear for my young children running around. It was,0
191,46.932082,-122.936608,I was starting my lawn mower in my dirt driveway when it came out from under the lawn mower and chased me it was big enough that I was able to swat at it and it hit the car hard and it didn't faze it at all and kept after me as I ran down the drive way u,0
194,45.586842,-122.300349,I saved my photo in my phone and tried looking it up to see what kind of bee it was but didn’t find any information on it. Can you let me know if it’s the Asian bee?I also have more pictures showing it’s size. I have one next to a quarter so you ca,0
194,46.605612,-120.784695,The surface that the hornet is sitting on is about 2.5 inches.,0
194,47.241486,-122.52316499999999,The hornet was seen towards the end of the summer of 2019 in early afternoon: very large orange and black it caught another insert on a bush and flew off with it.,0
194,47.725219,-122.04440600000001,"I have since moved, but I observed the hornet in woodinville last summer in July or August 2019. It was exactly as described and I immediately took notice of its body length being almost 2 inches. I was the largest hornet I had ever seen and it was freak",0
194,46.984884,-120.531094,"I am a ""bee"" person. Allergic to stings I am well aware of the kind of bees around me. Last August standing at my kitchen sink, the biggest hornet I had ever seen flew past my window at eye level. I was alarmed at how large it was at least an inch and 3/",0
195,45.732149,-122.342257,"I saw several of these last summer up at Larch Correction Center -- 2"" - 3"" long",0
195,46.815183000000005,-122.98770900000001,These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,0
195,47.267176,-122.466823,Killed near commencement bay in tacoma.  Was NOT a native hornet.  Orange stripes but not day glo like some wasps. Enormous and frightening. Not a yellow jacket queen but slightly larger w weird eyes and distinct tiger orange stripes.  Widen your trappin,0
195,48.752578,-122.62250900000001,I live on the Lummi Nation Reservation and saw this hornet 2 times. I later learned about the invasion. We also had a huge hornet nest high up in a cotton wood tree that looked like a hornet nest. It would be wise for you all to get a trap out here. I li,0
197,46.596612,-120.446389,"Seen 2, 2 inch long Hornet late summer last year in my back yard. Hovering and flying kinda slow and heavy.",0
201,46.535196,-117.084754,It was the only one located and was put into a pickle jar - the hand holding the jar is an adult females hand,0
203,48.984144,-122.77443799999999,"Not a specific date, but it was sometime last summer. It looked like the Asian Hornet on the news, but if I remember it was more red in color and about 1 to 2 inches.",0
204,47.763622999999995,-122.54114299999999,Never have seen a bee like this and I have lived in Washington my entire life.,0
206,46.673713,-123.781953,I am pretty certain this is what I saw last summer.  My date is not exact.  I remember because I spent quite a long time searching online to figure out what kind of bee it was with no success.  When I saw the news article about it today I recognized it r,0
207,46.894731,-122.63171899999999,"My wife and I saw two very large hornets with orange on the head and on the body in our garden in Yelm, WA in mid August of 2019.  They were not agressive and were hovering around our garden area.  The hornets were very large, about twice as big as the l",0
208,48.721109000000006,-122.328668,I was driving and didn’t notice it in my car till I got home. I knew it was a some sort of wasp or bee by how it looked but spent a lot of time trying to find something that matched it online. What made this insect stand out to me was that it’s mouth,0
208,46.457758,-119.02963000000001,We saw 4 or 5 of these very large yellow faced hornets feeding on nectar in my neighbors yard as we were talking. At the time we had no idea what they were and took no photos,0
208,47.371637,-122.10636699999999,"I have seen many, and killed up to 5per day both August 2018 and 2019. I have lots of pollination plants in my yard, purposely, for honey bees. These bees are aggressive and were killing my other bees. I used wasp spray that shot them out of commission,",0
208,47.91635,-122.39081599999999,"I’ve seen this hornet for two years in late summer in my front yard. 2018 and 2019. Sorry, no photos available. (This was reported via email before I knew of this form. This form provides exact location where I found the hornet.)",0
208,47.368916999999996,-122.673823,It was huge.  Pumpkin orange wings approximately 3-4” wide with a dark body.  The sunlight was shining on its wings making it look super orange.  It was flying around the open area in my woods fairly slowly.  I thought it might be a large grasshopper b,0
208,47.243563,-122.34056399999999,"I am a geologist, was working on a geotechnical exploration in Fife and an asian giant hornet came up to inspect me and landed momentarily a few feet away. I did not realize they were invasive at the time but feel positive in my identification because I",0
208,48.10025,-119.786157,"was getting a water from my bird bath .was week and i crush it,it was about 2inch long .",0
211,46.23542,-119.09467,"Just like the pics, dark contrast coloring, very large mandibles and stinger, didn't know of the Asian Hornet at the time.  This insect was seen late last summer.",0
211,47.345423,-122.082943,"nested in an old tree stump. while trying to remove the stump I was stung by one. it was the biggest bee I had ever seen! as long as my thumb. I had pest services in for removal/poisoning. I tried to get pictures, but they immediately retreated in deeper",0
212,47.756278,-122.21683300000001,"The images I am attaching are from last summer. (Aug 2019) These were ground-burrowing insects. Images are poor (cell phone) quality, taken from a distance of several feet away. Lat/Long is from google maps; it is my parents-in-law's back yard.",0
213,47.81214,-122.162168,"I killed a murder wasp at my home in august of 2019, it was enormous, almost 2 inches long with an orange face and striped sides",0
214,48.418776,-122.65316000000001,"Date is approximate, can be verified by campsite res. I seen one at campsite 290, disability site. I've been camping here since the 80's. I know the date might be earlier than other reports. This wasp cannot be mistaken for another,freakishly large head",0
214,47.04437,-122.82323999999998,Last fall I found what I thought was a large hornet maybe I thought it was a queen bee because if how large it was but seeing this information action now I can confirm this is the hornet I killed in my lawn in Lacey wa last August about mid month. It was,0
215,46.65404,-120.53113,"Lazy, lethargic murder wasp in parking lot, it was by itself",0
217,48.2281,-122.26625200000001,I found one of these Hornets in my garden late in the summer in 2019. I'd never seen one or heard of one but the size and colors really stood out in my mind.,0
217,47.721484999999994,-122.05451799999999,"I think I had two of these in my yard this last summer. I do not recall the exact date or time, just late summer on a weekend getting the yard ready for fall. I couldn't figure out what it was and didn't look like a mud wasp or anything I had seen before",0
218,47.577932000000004,-122.61399899999999,Hornet was very large/2 inches long. I was gardening and noticed a perfect hole in the ground about the circumference of a pencil. I flooded the hole with water and a very large hornet came out and was struggling on the ground. Another hornet came out to,0
218,48.698966999999996,-122.906356,"ORCAS ISLAND 8/25/2019. My niece noticed this large Bee/Hornet and it was on top of a yellow jacket, beheaded it.",0
218,47.767236,-122.20334199999999, ,0
218,46.212198,-119.29337199999999, ,0
222,48.049262,-122.54083500000002,"2 inch long insect with large dark orange head, indistinct strips and 3 hair like extensions were stinger would be.",0
223,47.79492,-122.52552,My son told me he saw a huge weird looking bee and he took a picture of it.  It’s nest was in the ground on the island of grass in the middle of the parents parking lot with trees near the little library. We didn’t think anything of it until we heard,0
223,47.635058,-122.057332,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",0
224,48.723779,-122.354431,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",0
225,47.27375,-122.65106999999999,99% sure I saw one on Fox Island at a BBQ last summer.,0
225,47.222440999999996,-122.397369,It was a big long  wasp with golden yellow stripes. They would stick a barb from inside there abdomen into this one tree and get stuck and die. I saw about 4 get stuck in the same tree.,0
225,46.052824,-122.042818,Swift Campgroumd Sewer Dump,0
225,48.760013,-122.913326,"Sucia Island, Shallow Bay south end near marsh. Was maybe 50’ from the shore and this very large orange and black hornet flew at me.  There were several of us and I noted that I had never seen this variety before.  It flew past my head so I did get a g",0
231,47.395721,-123.10518799999998,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",0
231,47.64322,-122.31986,"I don’t remember exact date but I definitely saw this hornet around late summer/early autumn. I didn’t get a photo of it unfortunately, but I am absolutely certain this is what I saw. I didn’t kill it because I unfortunately didn’t know at the ti",0
232,47.296321999999996,-119.583179,In Ephrata Washington,0
234,47.784608,-122.22053899999999,"Large Orange Hornets seen entering and exiting ground level nest, into garden wall opening",0
236,47.896731,-122.323499,"In a small field next to the Boeing Harbour Pointe Tech Center, I observed these giant hornets going in and out of tunnels in the ground.",0
236,47.328,-122.58004,"Hello! This 'wasp' type insect bit my husband and I last Sept.  I grew up in the PNW, am a longtime gardener and have never seen anything like this.  I don't know if this is the hornet that you are referring to but it looks very familiar.  It was huge an",0
238,48.64683,-122.369771,"Observed flying around my porch. Hovered in place like a humming bird while facing me. I tried, but was unable to snap a photo.",0
242,48.408405,-122.339303,I think i killed 2 with spray but they went underground,0
242,46.900618,-122.27434699999999,I am not sure if this is this particular hornet but it is the biggest thing we have ever seen.   It was at our cabin in Eatonville last September.   I kept a picture because I wanted to try and find out what it was and have been unsuccessful.  It was abo,0
243,49.149394,-123.94313400000001,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",1
244,47.036497,-122.74266999999999,In the early autumn of 2019 my husband and I were sitting outside at our picnic table when we saw a yellow jacket and one of these Asian Hornets (which dwarfed the yellow jacket) get into begin to fight with each other.  Within seconds the yellow jacket,0
244,47.718207,-122.237169,My girlfriend who is from another state asked me what type of bee it was in my backyard in Kirkland on a log. It was nothing like anything I've ever seen before. Most notible was the orange colored head and the size of it. We've both been seeing news of,0
245,48.203173,-122.12778300000001,"I was walking by the Stilly River in Arlington, WA when a very large insect came out of the ground and struck me in the chest. It was so large I could see it coming and I could actually hear it as well, however I was not able to move quick enough and it",0
254,48.66002,-123.39676499999999,"I live on the Saanich Peninsula of Vancouver Island.  Last fall, roughly late September, I saw one of these in my garden and made note of it in my garden diary.  I have lived in the PNW for over 60 years and have never before come across such a remarkabl",0
254,48.993891999999995,-122.702242,Insects observed late Sept or early Oct,1
265,47.658029,-117.75441200000002, ,0
269,48.986176,-122.69745,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",0
269,47.497675,-122.091131,We had a small hive of these Hornets move into ournsand stock pile near Issaquah. They were not aggressive and we were able to spread the sand kill them. We haven't seen any so far this year.,0
274,47.764431,-122.361745,"Unfortunately I never got a picture of one, but in my last apartment there were hornets that occasionally came out of the fireplace. I don't know for sure if they were this hornet, but they were bigger than any I've ever seen before. We no longer live th",0
284,48.786349,-122.55063100000001,"I am a trained  aquatic entomologist and I work for WA Dept. of Ecology  and live in Bellingham, WA.  Last fall I was cleaning out a window sill in a spare bedroom and noted the  dead body of the largest wasp I have ever seen.  After seeing the photos on",0
284,48.971949,-122.70094099999999,Hornet specimen sent to WSU,1
284,47.241065,-122.269603, ,0
288,47.464119000000004,-122.28526200000002,"This was inside my apartment, I was so scared of it i think i injured it but it landed in an enclosed container so i dumped it outside, I noticed that someone else has reported one in the neighborhood also, just so you know i text my mother about it on N",0
298,49.025831,-122.810653, ,1
311,47.46499,-122.2869,It was around this date. There was two in my car as I was waiting at the link station and it was late in the evening around 7pm. We were able to kill one and didn’t know what it was and thought it was a big bee but seeing the pictures now is what it lo,0
323,48.980994,-122.688503,"One dead wasp seen in Blaine, and suspect flying nearby",1
337,47.77475,-122.213725,"2 of these things were landing in front of my house, and went into burrows into loose dirt in front of the house.  They were about 1.5 to 2” long with orange/yellow heads.  I squashed them both, and flattened out the mount of dirt next to burrow.  I ju",0
361,48.9392,-122.6613,"Massive loss of bees, decapitated. No hornet specimens were located.",0
389,47.072951,-122.97706000000001,everywhere,0
404,47.411352,-122.318568,"Hello, just wanted to let you know that we have Asian Giant Hornets in King County. My coworker caught one in our work truck. We had it in a coffee cup for a couple of hours, but it got out. We are 100% positive that it was an Asian Giant Hornet. I am go",0
406,48.729596,-122.48003500000002,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",0
406,47.53754,-122.63926299999999,I was stung several times on my ankle.,0
406,48.186023999999996,-122.34468000000001,Reported to Washington Invasive Species Council via voicemail,0
406,47.091218,-122.864415,"I was bringing firewood up to the house and at our wood pile, where I think one must have been sleeping.  I didn't know what it was, but it was huge.  I smashed it before it woke up enough to fly.  So it looks like we have those beats here in Olympia as",0
407,48.550103,-119.741725,Community member wanted to know if it was dangerous or non-native.,0
409,47.634119,-122.646627,"I am not sure what this is, but I saw this on my living room wall one evening.  I had returned from visiting my daughter in Tx  on Feb 11, 2020,  who had been in Thailand in January.",0
416,46.978763,-123.898467,"I never seen one before, but it landed on my car fender and I was going to take a picture to find out what it was. Glad I didn't touch it. It's a definite match from the pictures. They are in hoquiam wash for sure.",0
421,48.419995,-122.33213,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,0
422,47.181077,-122.117608,"My daughter Isabella and myself had seen the Asian hornet,  Larger than he described it,  Oh is this like we didn’t seem to going fast!",0
424,47.840041,-122.32356200000001,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,0
425,48.93401,-122.48545,It wasn't huge but definitely  had a yellow head and yellow mid section,0
426,47.639334000000005,-122.200484,This was the second giant bee that somehow got in to my house. The first one was seen at the end of December but I didn't get a picture of that one. The one in December was bigger. Both of them I trapped in a cup and let them outside. If I see another on,0
426,48.725173999999996,-122.50314099999999,"904 12th Street, Bellingham WA 98224. For 1 or 2 warm days, my husband and I saw a very large bee with yellow head among plants our back yard, and remarked that we had never see this type of bee before. We have not seen any since then",0
426,47.30134,-122.565146,I saw a giant hornet when I was cleaning one of my raised based in my garden.  I was removing old leaves from the bed getting cleaned and ready for planting.  I tried to take a photo but it flew away.  It was about 2 inches long.  I have not seen any oth,0
426,48.833578,-122.54356899999999,Flew at my home and hit my picture window.  I was stunned by the color and size.,0
428,48.74361,-122.43905,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.",0
428,47.240541,-122.321905,I was checking to see if the hive of carpenter bees in a woodpile were active yet when I saw a huge orange bee near the entrance. I was not aware of the hornets presence or threat then. No activity this year at the carpenter bee hive.,0
429,48.077702,-123.17076100000001,It stung me through a paper towel,0
429,46.292763,-119.145959,My mom saw a lot of rear insects like large size of bees especially in the morning flying low and avoid contact with humans.,0
431,48.490758,-122.061753,"While pruning Apple tree, The large Asian Hornet Flew out of woods From the west, flew towards house and turned around. It was such an aniamated looking hornet. It turned around and flew back into the woods.  Heading back west.  Did not get a picture.",0
432,47.936452,-122.137477,Digging garden area and uncovered a bee,0
434,46.631710999999996,-123.95338999999998, ,0
436,46.609918,-120.563107,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",0
437,46.385863,-117.062473,I killed about 20 of these . It was a hot dry spring . One almost killed my cat. He tried to eat it . Took my cat to the vet pulled a 1/4 inches long stinger out of his mouth.vet wanted to know what stung him he had never seen anything like it. I had alr,0
437,46.809103,-120.914004,it landed on a window screen while window was open-I had a few moments to look at it carefully,0
438,48.291902,-122.521527,"Saw this one who spent the morning either on the dirt or flying under my house, back and fort.   My wife was alarmed and gave me the electric swatted.   I went out and zapped it a few time before it quit moving. I remember seeing a giant stinger and was",0
438,48.144053,-123.160706,Had not read about the hornet. I found an extremely large “wasp” with very different red markings on my front window...inside. I captured it and released outside. Few days later I read about the hornet and saw pictures. It’s very possible that was,0
439,47.440059000000005,-122.220459,I didn’t capture a picture but it was absolutely massive. I’ve never seen a bee that large in WA and I’ve lived here for 29 years!,0
441,47.296898,-119.50032900000001,I had arrived at the Ephrata gun ranger's 25 yd handgun bay. While I was offloading my gear and equipment I noticed a large orange headed beeline wasp flying around my vehicle. It lingered around my vehicle and myself. Realizing it could be the Asian hor,0
441,46.240111999999996,-122.915848,"I am fairly confident this is what chased me around my pasture yesterday.  It is as huge, fast, and incessant.  I even smacked it hard with my cell phone, which stunned it, then it came back at me.  I was out checking my raspberry rows.  It didn’t stop",0
441,48.731977,-122.691497,No photo.  Was large hornet with orange/yellow head,0
442,48.548358,-122.31711000000001,I saw this trying to start a nest on the eve of my garage door. I hit it 3 times with a broom until it finally left. I have not seen it since then. It was 1 1/2 to 2 inches in length.,0
442,47.526522,-122.324858, ,0
442,47.526507,-122.324826,"Unknown if this is our invasive species, but its a growing colony right above the sidewalk on the concrete support wall for the Highway 99 overpass over Cloverdale, on the northwest corner.  Definitely a hazard to pedestrians regardless of species.  Didn",0
442,48.278765,-122.647282,It was in my raised garden bed and seemed slow moving until I killed it.  It was huge and angry.  Not sure why it was in my raised garden bed weeds.,0
442,47.156028000000006,-123.01336599999999,We live on the coast and are familiar with the bees and wasps in our area. We are outside most of the day until night. We kept remarking about a strange huge bee buzzing around that was orange and we’ve never seen before. I have no picture but will try,0
442,48.736447,-122.46473,"I was watering my plants at the windowsill when I heard a buzzing sound and a giant wasp was flying around the window and actually bumped into it. It was hovering for about 10-15 seconds before flying away, and before I could capture a photo. I was compl",0
442,47.370776,-120.13876599999999,Not sure but this this was huge and never seen it before around my pond,0
443,47.637223999999996,-122.700911,"4/07/20. We prefer not to risk going close to eat, but my husband thought it was a mouse and put a trap at first, until he saw it was a big giant bee today and left immediately. We were advised to call you.",0
443,47.568036,-122.63959799999999,Biggest hornet we have ever seen. Saw two of them,0
443,48.006687,-121.98215800000001,"I was in my back yard in Snohomish. A very large insect flew past me, at a distance of about 7 feet. Since it was in the air and moving rapidly I was unable to take a photo. It may not have been one of these wasps, but the size startled me.",0
443,47.322990000000004,-122.310432,"Last summer, my grandson & friend said they saw a bee that was a good 2 inches long, in our back yard. We teased them bigtime, but now I'm thinking maybe he did. Yesterday there was a big fat bee out back, but it was about one inch",0
443,47.473632,-122.106425, ,0
443,47.62986,-120.68945,"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm",0
443,47.708791,-117.472206,"was in my house in Spokane, WA",0
443,47.179097,-122.23531399999999,"My husband and I were walking in the Orting Trail between Sumner, Puyallup and Orting when an insect buzzed past my head. It was larger than bees or flies I had seen before. I joked that “whatever it was it just darkened the sky for a bit”. I was jok",0
444,47.941026,-122.235926,"100% caught one in my house last week, Everett, WA. I was shocked at the size, bigest wasp I had ever seen. Threw it outside alive.",0
444,47.288517999999996,-122.252099,I spotted two hornets on my patio umbrella. I was not able to get a picture of them,0
444,47.62986,-120.68945,Yes I saw a large bee looking bug flying around my Japanese maple yesterday Thought it was a large wasp,0
444,47.513366999999995,-122.389528,Several huge wasps flying around our rooftop deck area. Bigger than usual as we had a nest last year to compare too.,0
444,47.613333000000004,-122.19203,"I saw the very large hornet ""sniffing"" around one of my potted climbing roses. I live on the 9th floor of an apartment building in Bellevue, WA. We are East facing over the 405 freeway near Bellevue City Hall. It was so large it was rather startling and",0
445,47.512482,-122.357321,"On garage door, clearly visible on white background. We have lived on site with same insect species for over 25 years. Shocking to see. Left it alone and went in the house, we did not know what we were dealing with.",0
445,47.665299,-117.42232,A giant wasp landed on my arm while I was walking on mallon street. I quickly brushed it off as it landed but I was massive with a big orange head and I remember thinking I've never seen a bee with such huge orange head.,0
445,46.713962,-117.17318600000002,It was very large and distinctive. I am allergic to bees so my first instinct was to get away not take a picture unfortunately. I have never seen such a large bee.,0
445,48.966840000000005,-122.61586899999999,Twice now I think I've seen this Asian Giant on my property.  I would like traps put on my property.,0
445,47.997103,-122.111653,The homeowner called an exterminator so probably handled. I didn't take a picture because I didn't know what it was at the time but it was huge! He was spraying with bleach and it wasn't dying,0
445,47.005477,-122.919675,i read the article on them about a week ago and noticed these abnormally big looking bees outside my window and made me curious because they were messing around with the small looking hives i have seen before that are usually around houses. i did not not,0
445,47.749228,-122.338696, ,0
445,47.770075,-122.264719,Over the last 2 Summers I have notice a large hornet nesting in the ground where a garden was located.  They look similar to the Asian Hornet and do not seem aggressive.  These ground nest are next to a home and would prefer to have them erradicated if p,0
445,47.67887,-122.20664,I saw similar bees to this pictures yesterday when I was outside in my yard.,0
445,46.612154,-123.95825, ,0
